District,year,Season,N,P,K,pH,EC,OC,S,B,Zn,Cu,Fe,Mn,temperature,temperature_max,temperature_min,humidity,rainfall,label
Ariyalur,2024,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.5,42.4,20.6,66.0,353.0,groundnut
Ariyalur,2024,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,30.5,42.4,20.6,66.0,353.0,pulses
Ariyalur,2025,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,38.7,23.9,62.0,310.0,rice
Ariyalur,2025,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,38.7,23.9,62.0,310.0,groundnut
Ariyalur,2025,Kharif,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.9,38.7,23.9,62.0,310.0,pulses
Ariyalur,2025,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.4,36.8,17.8,78.5,728.0,rice
Ariyalur,2025,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.4,36.8,17.8,78.5,728.0,groundnut
Ariyalur,2025,Rabi,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,25.4,36.8,17.8,78.5,728.0,pulses
Ariyalur,2025,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,39.7,20.5,66.0,174.0,rice
Ariyalur,2025,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,39.7,20.5,66.0,174.0,groundnut
Ariyalur,2025,Summer,139.0,20.5,272.0,7.9,0.6,0.4,11.8,0.5,0.6,0.7,4.8,2.2,29.8,39.7,20.5,66.0,174.0,pulses
Coimbatore,2020,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.0,34.5,21.3,85.0,622.0,cotton
Coimbatore,2020,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.0,34.5,21.3,85.0,622.0,maize
Coimbatore,2020,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.0,34.5,21.3,85.0,622.0,turmeric
Coimbatore,2020,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,34.7,16.7,72.3,502.0,cotton
Coimbatore,2020,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,34.7,16.7,72.3,502.0,maize
Coimbatore,2020,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,34.7,16.7,72.3,502.0,turmeric
Coimbatore,2020,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.1,38.8,22.4,62.8,66.0,cotton
Coimbatore,2020,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.1,38.8,22.4,62.8,66.0,maize
Coimbatore,2020,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.1,38.8,22.4,62.8,66.0,turmeric
Coimbatore,2021,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.9,20.1,84.8,599.0,cotton
Coimbatore,2021,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.9,20.1,84.8,599.0,maize
Coimbatore,2021,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.9,20.1,84.8,599.0,turmeric
Coimbatore,2021,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.1,36.2,17.5,77.6,846.0,cotton
Coimbatore,2021,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.1,36.2,17.5,77.6,846.0,maize
Coimbatore,2021,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.1,36.2,17.5,77.6,846.0,turmeric
Coimbatore,2021,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,37.8,20.2,64.4,235.0,cotton
Coimbatore,2021,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,37.8,20.2,64.4,235.0,maize
Coimbatore,2021,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,37.8,20.2,64.4,235.0,turmeric
Coimbatore,2022,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.8,20.8,83.3,565.0,cotton
Coimbatore,2022,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.8,20.8,83.3,565.0,maize
Coimbatore,2022,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.8,33.8,20.8,83.3,565.0,turmeric
Coimbatore,2022,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.6,34.5,17.6,72.1,524.0,cotton
Coimbatore,2022,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.6,34.5,17.6,72.1,524.0,maize
Coimbatore,2022,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.6,34.5,17.6,72.1,524.0,turmeric
Coimbatore,2022,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.5,39.3,20.6,67.7,233.0,cotton
Coimbatore,2022,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.5,39.3,20.6,67.7,233.0,maize
Coimbatore,2022,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.5,39.3,20.6,67.7,233.0,turmeric
Coimbatore,2023,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.9,35.7,21.0,79.2,511.0,cotton
Coimbatore,2023,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.9,35.7,21.0,79.2,511.0,maize
Coimbatore,2023,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.9,35.7,21.0,79.2,511.0,turmeric
Coimbatore,2023,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,35.2,17.4,68.2,502.0,cotton
Coimbatore,2023,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,35.2,17.4,68.2,502.0,maize
Coimbatore,2023,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,35.2,17.4,68.2,502.0,turmeric
Coimbatore,2023,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,28.4,39.5,19.2,61.0,142.0,cotton
Coimbatore,2023,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,28.4,39.5,19.2,61.0,142.0,maize
Coimbatore,2023,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,28.4,39.5,19.2,61.0,142.0,turmeric
Coimbatore,2024,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.2,33.3,21.3,83.1,516.0,cotton
Coimbatore,2024,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.2,33.3,21.3,83.1,516.0,maize
Coimbatore,2024,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.2,33.3,21.3,83.1,516.0,turmeric
Coimbatore,2024,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.4,35.3,19.1,72.4,524.0,cotton
Coimbatore,2024,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.4,35.3,19.1,72.4,524.0,maize
Coimbatore,2024,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.4,35.3,19.1,72.4,524.0,turmeric
Coimbatore,2024,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.7,40.8,20.9,59.0,259.0,cotton
Coimbatore,2024,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.7,40.8,20.9,59.0,259.0,maize
Coimbatore,2024,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,29.7,40.8,20.9,59.0,259.0,turmeric
Coimbatore,2025,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.7,32.4,20.6,84.4,475.0,cotton
Coimbatore,2025,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.7,32.4,20.6,84.4,475.0,maize
Coimbatore,2025,Kharif,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,24.7,32.4,20.6,84.4,475.0,turmeric
Coimbatore,2025,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,34.8,17.9,68.7,403.0,cotton
Coimbatore,2025,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,34.8,17.9,68.7,403.0,maize
Coimbatore,2025,Rabi,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,25.1,34.8,17.9,68.7,403.0,turmeric
Coimbatore,2025,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,38.2,21.4,66.8,266.0,cotton
Coimbatore,2025,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,38.2,21.4,66.8,266.0,maize
Coimbatore,2025,Summer,201.0,27.3,263.0,7.6,0.4,0.4,12.7,0.6,0.9,0.9,4.6,2.4,27.9,38.2,21.4,66.8,266.0,turmeric
Cuddalore,2020,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,38.1,24.2,74.5,431.0,rice
Cuddalore,2020,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,38.1,24.2,74.5,431.0,groundnut
Cuddalore,2020,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,38.1,24.2,74.5,431.0,sugarcane
Cuddalore,2020,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.6,19.5,80.2,828.0,rice
Cuddalore,2020,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.6,19.5,80.2,828.0,groundnut
Cuddalore,2020,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.6,19.5,80.2,828.0,sugarcane
Cuddalore,2020,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,40.2,21.0,74.7,32.0,rice
Cuddalore,2020,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,40.2,21.0,74.7,32.0,groundnut
Cuddalore,2020,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.1,40.2,21.0,74.7,32.0,sugarcane
Cuddalore,2021,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.4,38.6,24.3,71.1,330.0,rice
Cuddalore,2021,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.4,38.6,24.3,71.1,330.0,groundnut
Cuddalore,2021,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.4,38.6,24.3,71.1,330.0,sugarcane
Cuddalore,2021,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.5,32.8,18.6,83.2,1363.0,rice
Cuddalore,2021,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.5,32.8,18.6,83.2,1363.0,groundnut
Cuddalore,2021,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.5,32.8,18.6,83.2,1363.0,sugarcane
Cuddalore,2021,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.0,40.0,20.2,73.6,45.0,rice
Cuddalore,2021,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.0,40.0,20.2,73.6,45.0,groundnut
Cuddalore,2021,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.0,40.0,20.2,73.6,45.0,sugarcane
Cuddalore,2022,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.7,23.6,74.1,366.0,rice
Cuddalore,2022,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.7,23.6,74.1,366.0,groundnut
Cuddalore,2022,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.7,23.6,74.1,366.0,sugarcane
Cuddalore,2022,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.6,33.2,19.0,80.8,892.0,rice
Cuddalore,2022,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.6,33.2,19.0,80.8,892.0,groundnut
Cuddalore,2022,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,25.6,33.2,19.0,80.8,892.0,sugarcane
Cuddalore,2022,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.3,21.0,75.2,146.0,rice
Cuddalore,2022,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.3,21.0,75.2,146.0,groundnut
Cuddalore,2022,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.9,37.3,21.0,75.2,146.0,sugarcane
Cuddalore,2023,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,30.0,38.7,24.7,69.7,419.0,rice
Cuddalore,2023,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,30.0,38.7,24.7,69.7,419.0,groundnut
Cuddalore,2023,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,30.0,38.7,24.7,69.7,419.0,sugarcane
Cuddalore,2023,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.9,18.0,79.9,776.0,rice
Cuddalore,2023,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.9,18.0,79.9,776.0,groundnut
Cuddalore,2023,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,34.9,18.0,79.9,776.0,sugarcane
Cuddalore,2023,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.7,38.7,21.0,77.6,166.0,rice
Cuddalore,2023,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.7,38.7,21.0,77.6,166.0,groundnut
Cuddalore,2023,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,28.7,38.7,21.0,77.6,166.0,sugarcane
Cuddalore,2024,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.7,38.0,24.4,71.2,382.0,rice
Cuddalore,2024,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.7,38.0,24.4,71.2,382.0,groundnut
Cuddalore,2024,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.7,38.0,24.4,71.2,382.0,sugarcane
Cuddalore,2024,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.5,36.4,19.5,80.8,1060.0,rice
Cuddalore,2024,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.5,36.4,19.5,80.8,1060.0,groundnut
Cuddalore,2024,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.5,36.4,19.5,80.8,1060.0,sugarcane
Cuddalore,2024,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.5,38.7,21.2,76.9,260.0,rice
Cuddalore,2024,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.5,38.7,21.2,76.9,260.0,groundnut
Cuddalore,2024,Summer,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.5,38.7,21.2,76.9,260.0,sugarcane
Cuddalore,2025,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.3,36.8,23.1,71.4,389.0,rice
Cuddalore,2025,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.3,36.8,23.1,71.4,389.0,groundnut
Cuddalore,2025,Kharif,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,29.3,36.8,23.1,71.4,389.0,sugarcane
Cuddalore,2025,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,33.4,19.0,79.4,886.0,rice
Cuddalore,2025,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,33.4,19.0,79.4,886.0,groundnut
Cuddalore,2025,Rabi,141.5,51.0,237.5,7.3,0.3,0.3,10.8,0.6,1.1,1.2,5.6,9.0,26.0,33.4,19.0,79.4,886.0,sugarcane
